cz,czname,state,lat,lon,c1980_85,am,rm,amfemale,rmfemale,ammale,rmmale,fracblack,racseg,incseg,segpov25,segafl75,fraccom15,hipc,gini,incsh1,ginibot99,frac2575,loctr,locgexp,schexp,tsr,tsperc,hsdrop,colpc,coltui,colgrad,lfpr,manshare,chimp,tlfpr,migirate,migorate,fracfor,scind,fracrel,crimer,fracsm,fracdiv,fracmar,incgrth
5000,Tupelo,MS,34.12996972010597,-88.731804843267,17558.0,37.74075,0.42111,38.17275,0.42495,37.3035,0.41754,0.2405877,0.1234066,0.0222542,0.0190077,0.0228449,0.341017,30736.36,0.45702,11.467,0.34235,0.51719,0.012618,1983.721,4.3524476,17.939042,-8.119659,-0.0084809,0.0101126,950.0,-0.1292953,0.6274781,0.3638909,4.838094,0.0032812,0.0108811067,0.0110732452,0.0106262,-0.69414314,0.6441292,0.0012936,0.2462136,0.1079292,0.5685366,-0.0101085
5100,Corinth,MS,34.932471082394805,-88.43140342325333,8848.0,39.04825,0.38925,40.4855,0.39498,37.68625,0.38525,0.0785048,0.1275759,0.0132364,0.0158427,0.0097044,0.3718821,28904.13,0.42598,12.3,0.30298,0.5455,0.0128751,2221.806,4.3293422,16.744292,-1.450451,-0.0162105,0.0077215,1080.0,-0.1590347,0.5740742,0.335609,7.027881,0.003883,0.0108410291,0.009427989,0.0077495,-0.76573069,0.6183479,0.0010463,0.1953044,0.1132088,0.5988222,-0.0149596
5201,New Albany,MS,34.648220697728284,-88.99947624324324,4201.0,39.2955,0.42626,39.508,0.45876,39.0575,0.39642,0.1846202,0.0877871,0.0108396,0.0120295,0.0101586,0.2986745,27596.21,0.38927,9.491,0.29436,0.55686,0.0095283,2149.374,4.1114087,18.379613,-1.195666,-0.0135597,0.0184454,5250.0,0.1449233,0.5770562,0.3805635,4.225587,0.0032891,0.0207879883,0.0164348692,0.0170813,0.04714911,0.7340908,0.0018814,0.1958178,0.0921451,0.5995329,-0.0127682
5202,Memphis,TN,35.1083882122657,-89.90212495884202,96037.0,33.74725,0.41649,36.0355,0.41738,31.437,0.41748,0.4319281,0.3596896,0.1374757,0.1288866,0.148385,0.2235523,37116.07,0.58575,17.031,0.41544,0.4489,0.0209017,2868.344,4.7678803,19.685974,-15.57042,0.0198577,0.0129945,4190.78,-0.1321167,0.654258,0.1156375,1.263423,0.0038463,0.0181558608,0.017201201,0.0325004,-0.70980416,0.4248981,0.0020687,0.321948,0.1064513,0.4917489,-0.0123322
5300,West Memphis,AR,34.98208222602327,-90.57958330447431,12899.0,35.2185,0.4375,36.58425,0.44669,33.83375,0.42735,0.4709757,0.1993571,0.0454246,0.0456363,0.051715,0.4158865,25941.66,0.45773,8.066,0.37707,0.3856,0.0145577,1539.684,4.632227,17.212028,-14.36724,0.0241037,0.0216222,1036.66,-0.182974,0.5489974,0.1580763,4.291703,0.0032242,0.0109336485,0.0168869733,0.0087746,-1.1953658,0.4759489,0.0023352,0.3677946,0.0973604,0.5131308,-0.014129
5401,Bowling Green,KY,36.93134396343268,-86.48091311294513,11821.0,40.35225,0.35469,41.0415,0.3837,39.66775,0.32615,0.0718668,0.1225152,0.0503657,0.0442104,0.0564821,0.3745737,31026.39,0.45433,12.093,0.3334,0.55129,0.0134577,1675.292,5.924689,17.263334,3.097195,-0.008198,0.0121253,2232.43,0.0401588,0.6483966,0.2446602,0.7488985,0.0037359,0.0152233485,0.0127558444,0.0273956,-0.74686056,0.5277791,0.001061,0.2028652,0.1054473,0.5740826,-0.0084404
5402,Glasgow,KY,36.947033637847184,-85.78501561264216,6335.0,42.372,0.37124,44.24075,0.39711,40.4575,0.34894,0.0373942,0.0709323,0.0195943,0.0142223,0.0219095,0.3755934,27831.47,0.43944,12.307,0.31637,0.52246,0.0117206,1389.639,5.6195842,15.427298,-1.206817,-0.006104,,,,0.5858744,0.2815028,1.100748,0.003588,0.0093945494,0.0094378423,0.0084682,-0.79233194,0.4968937,0.0008442,0.1849328,0.1080988,0.6143836,-0.0050555
5500,Columbia,TN,35.52215111395626,-87.0909257356686,13139.0,39.43625,0.30425,41.08075,0.31367,37.87,0.29532,0.103643,0.1129679,0.0410635,0.0385166,0.0465263,0.3043648,32506.85,0.38139,8.556,0.29583,0.54349,0.0177907,2531.746,4.217412,,-4.083395,-0.0103593,0.0125491,2662.88,-0.106235,0.6374894,0.3050006,2.560138,0.0037528,0.0220362167,0.0208503269,0.0148259,-1.2475299,0.4717018,0.0020787,0.1987831,0.1126349,0.5905232,-0.0098158
5600,Nashville,TN,36.15631729717654,-86.65640983768682,88518.0,38.20225,0.35681,39.82975,0.36407,36.594,0.34884,0.1527258,0.2494789,0.1029113,0.0933222,0.1123581,0.2396549,39832.54,0.51668,18.995,0.32673,0.50619,0.0225166,2577.472,5.0880014,,-6.695246,0.0144724,0.0176517,7970.56,-0.0010109,0.6889873,0.1398584,1.498996,0.0042683,0.0224152678,0.0162419825,0.0467003,-0.39729533,0.4760194,0.0019654,0.2232894,0.1146248,0.5490999,-0.0084576
5700,Tullahoma,TN,35.38711103863117,-86.21154708006642,9543.0,39.18275,0.37467,40.32825,0.37225,38.04675,0.37771,0.0546742,0.0934113,0.0171915,0.0177251,0.0150651,0.3704641,32902.6,0.42311,10.603,0.31708,0.5525,0.0162003,1833.551,4.6687138,,-2.53982,-0.0123547,0.0153128,8383.17,-0.0317004,0.627489,0.2766681,2.508818,0.0038064,0.0172574841,0.0150907281,0.03172,-0.71524742,0.5234745,0.0013246,0.1955378,0.1031211,0.6077174,-0.0130697
